USER_ID,Video_ID,Please describe what you saw while watching the video.,What did you focus on while watching the video?,I felt like I was actually there in the environment of the video.,It seemed as though I actually took part in the action of the video.,It was as though my true location had shifted into the environment of the video.,I felt as though I was physically present in the environment of the video.,"On a scale of 0-10, 0 being how you felt coming in, 10 being that you want to stop, what is your discomfort level now?"
T9DQFK,20,"A slowly turning, slightly tilted video of the second floor hall in ECSN.",The tilt of the camera,1,1,1,1,3
T9DQFK,13,An elevator going up in the middle of stairs,How everything seemed unnaturally large because the camera takes up so little space. And the ladder in the background on floor 3.,1,1,1,1,0
T9DQFK,11,Entering and circling a roman race track on a chariot,"The scale of architecture, but I was mostly trying to see where the crowds were copy-pasted",3,1,1,2,0
T9DQFK,17,Video from a drop ride at a small carnival/amusement park near a beach,The location and other rides at the park,1,1,1,3,0
T9DQFK,2,"The camera is set up on a hill area of a mountain. There are surrounding mountains, and eventually a bird flies past.","If anything moved, and on the distant mountains",1,1,1,1,0
T9DQFK,24,Students walking past the student union,If I recognized anyone through the blur and which students looked at the camera and which ignored it,1,1,1,1,0
T9DQFK,3,A man giving a tour of a large walk-in closet/dressing room.,The clothes were largely mono-chromatic. ,1,1,1,1,0
T9DQFK,29,"A pac-man styled animation where the viewer is pac-man. There's some snarky text saying ""is this real life"" and asking if the viewer is dizzy. There's a short amount of gameplay.","The animation. The floor texture was stationary while the player, ghosts, and walls moved on top of it.",1,1,1,2,0
T9DQFK,27,Two skydivers jump from a plane and glide down into a city,"The strange layout of the city and island, and the skydivers' gear.",1,1,1,1,0
KXN38J,0,"couple of elephant in outside
some black colored line on grass","elephants, lines and numbers under my feet, blue and clean sky",3,4,4,3,0
KXN38J,26,"waterfall, rainbow, Air Pana Production,...","Waterfall, falling down (felt pretty cool) ",4,4,4,4,0
KXN38J,28,"A car, road, airplane,...",I was focusing mostly on my motion toward a car. (I was kinda tracking a car by a airplane.),4,4,4,4,0
KXN38J,29,game board,could not focus well. It was not comfort for me.,5,5,5,5,8
KXN38J,13,"elevator, stairs, different floors in a building, a painting on a wall,...",focusing on my movement toward up in the elevator. ,4,4,4,4,1
KXN38J,17,"A park, too many people, a beautiful view of a city,...",focusing on drop tower ride going up.,5,5,5,5,0
KXN38J,12,"too many cars, people, buildings, taxis, stores,...","pretty much everything in the city. The city was like NYC, super crowded. ",4,4,4,4,0
KXN38J,20,a floor of ECS. ,nothing especial was there to focus on. Only one person passing on the left side of me. ,5,5,5,5,4
KXN38J,1,"A nice view, sunrise or sunset, windy weather, mountains,...","sunset, enjoying the windy weather,",4,4,4,4,0
KXN38J,4,"Ehsan, Afshin, an unclear view of outside, camera stand under my feet,...",Afshing walking around.,5,5,5,5,0
KXN38J,8,"sea, a ship, waves, blue sky, producer brand, ...",flying above the sea and enjoying the beautiful view,5,5,5,5,0
KXN38J,21,"a guy talking to me (James), couple of stuff in a place in a tall tower,... ",focusing on a guy who was talking to like a real stater. very beautiful apartment.,5,5,5,5,0
KXN38J,24,"students, campus,...",students passing by,5,5,5,5,0
KXN38J,5,"couple of rhinos, outdoor view, small lake,...",Rhinos surrounding me.,4,4,4,4,0
KXN38J,10,"a woman walking with me, forest, trees, everything was in a very low quality like the woman's face was not clear at all couple of times.",Mostly on the woman walking with me.,2,2,2,2,0
JSIAAJ,0,elephant are walking,elephant movement,5,5,5,5,0
JSIAAJ,24,I saw humans in the campus,people and theirs cloths,5,5,5,5,0
JSIAAJ,8,I saw a blue sea,on the environment,5,5,5,5,0
JSIAAJ,21,A house and a person talking about the house,Furniture and interior design,5,5,5,5,0
JSIAAJ,29,"I was in a game, and saw 4 game objects",On the yellow coins,5,5,5,5,0
JSIAAJ,20,I was in a university building,looked at everything and tried to see the environment in a different way,5,5,5,5,0
JSIAAJ,12,I was on the city streets,Buildings,5,5,5,5,0
JSIAAJ,18,I watched a video from a drone view in a city,"The drone, and the city structure",5,5,5,5,0
JSIAAJ,6,"I was in a plateau, some people were dancing",Persons,5,5,5,5,0
JSIAAJ,1,I saw a landscape,Sky color and the sunset,5,5,5,5,0
JSIAAJ,3,I was in a boutique and a guy was touring that place,on the cloths and the furniture and everything,5,5,5,5,0
JSIAAJ,28,Flying on a road and saw a car,The drone and the surrounding,5,5,5,5,0
JSIAAJ,13,I was in an elevator in a building with offices,Inside and outside the elevator,5,5,5,5,0
JSIAAJ,9,Riding a rally car,Speed indicator and the front car,5,5,5,5,0
JSIAAJ,26,I was in a beautiful nature and I saw a waterfall,Nothing specific,5,5,5,5,0
K217UN,0,elephants.,the elephant which was approaching.,3,3,3,3,0
K217UN,18,The drone itself.,Just looking up because of fear of heights.,5,5,5,5,0
K217UN,27,the height and the towers.,towers and sea.,4,4,4,4,1
K217UN,24,"People, food truck and Department of Electrical Engineering",Students.,5,3,4,4,0
K217UN,29,"Coins, enemies of packman.",Eating the coins and running from enemies.,5,5,5,5,1
K217UN,21,a furnished home and a guy who was explaining the design.,home design and furniture including sofa and dining table.,3,3,2,3,0
K217UN,4,two people one of them walking and one sitting with no movement.,the building.,4,3,3,4,0
K217UN,6,Girls and boys dancing in an old building.,Their dance movements and their outfit.,3,3,3,3,0
K217UN,11,Fighting field in ancient Rome. Horses and people audience.,the monuments and people who were watching.,4,4,4,4,0
K217UN,25,Snowy mountains and sky.,snow and height.,5,5,5,5,0
K217UN,8,a beautiful and green beach. a ship was passing.,the blue water.,5,5,5,5,0
K217UN,20,UT Dallas electrical Engineering Department.,The building.,2,2,2,2,0
K217UN,10,A woman walking in the forest. ,the face of the woman.,2,2,2,2,0
K217UN,2,Hills and mountains and sky a flying bird.,the view of the nature.,4,4,4,4,0
K217UN,14,An elevator going up then down.,The building and the height of it.,2,2,2,2,0
AQ013T,0,7 elephants approaching me ,the movement of elephants,4,3,4,4,1
AQ013T,7,I saw a forest and two small houses on the left and a mountain on the right side.,The height of my viewpoint and the houses on the far.,4,3,5,4,2
AQ013T,21,A man who was introducing an apartment and showing me its facilities.,The man in the video.,3,2,3,3,1
AQ013T,28,"a wide view of a long road and areas covered by green grass on both sides and a car driving on the road. On the far distance, I could see some trees. I also saw the some parts of the device I was flying with.",The car,4,4,4,4,0
AQ013T,12,"I was on the roof of a black car, probably a limo, driving in a crowded city. I could see the yellow colored taxis, people walking on the sidewalks, big LED displays displaying advertisements and tall skyscrapers.",LED displays,5,4,5,5,0
AQ013T,29,"I was in the virtual environment of an old video game, if I am not wrong it was PacMan. I was watching the game as one of the agents in the game trying to collect yellow spheres and avoiding other agents.",Other agents.,4,3,2,3,2
AQ013T,3,"I was in a luxury room colored in pink containing some clothes, shoes, and hats for ladies. The room has two levels and there was some closets upstairs. I saw a man in the room talking and explaining something about the room. There was also a big luster or lamp hanging from the roof.",The man,5,4,4,4,0
AQ013T,1,"I was on top of a hill watching the sunset. There was some threes below the hill and I could see some mountains in the far distance. I could also see the yellow grasses near me shaking which caused me to feel there the wind is blowing. I also see a white line in the sky, possible a jet airplane has been there. I could also see a lake on the far distance.",the lake,5,3,4,5,0
AQ013T,23,"I was in the inside the Erik Jonsson School of Engineering, in front of the auditorium. I could see the entrance door and students coming in and out.",The entrance door.,3,4,3,3,2
AQ013T,6,I was in a room surrounded by some young girls and boys. It was like a dance class. ,The three girls on my left.,4,4,4,4,0
AQ013T,25,"I was flying over mountains covered by snow. There was a big logo ""Air Pano VR production"" on my back. ",The snowy white mountain top.,4,3,4,4,3
AQ013T,19,"I was in the lab. I could see a man in front of me, a man on my right and a girl on my left. All of the were working with their computers.",the man in front of me (Ehsan),5,3,5,5,1
AQ013T,14,I was in an elevator going up and the going down. ,the glass door in front of me.,3,2,3,3,2
AQ013T,9,I was a car race and I was watching the race on top of a black car. I could see a red car in front of me. There was also a map above my head.,The red car,3,3,3,3,2
AQ013T,18,"I was on top of a flying device and a man was controlling the device. I could see the city, the cars and the building.", The building with red roofs.,4,3,4,4,1
AXMQX4,0,I saw a bunch of elephants walking ,"First I took a look at the area. Then, I focused on elephants",4,2,4,3,0
AXMQX4,9,Two vehicles racing,On the track,3,3,2,3,9
AXMQX4,26,A waterfall,The waterfall,3,2,3,3,4
AXMQX4,11,Horse cart racing,Horse asses,3,2,2,3,6
AXMQX4,19,A UTD computer lab,Lab environment,5,5,5,5,0
AXMQX4,14,An elevator,Outside,4,3,4,4,3
AXMQX4,23,ESC entrance,Dr. Bastani,4,4,4,4,1
AXMQX4,7,A landscape,Trees,4,4,3,4,2
AXMQX4,30,A jet fighter from the pilot point of view ,A looked around ,3,3,2,3,8
AXMQX4,1,Another landscape,The sun and the lake,4,4,4,4,1
AXMQX4,22,Copy room,Ehsan,4,4,4,4,1
AXMQX4,5,Rhinos,Rhinos,4,4,4,4,2
AXMQX4,17,A drop tower,Ladies,4,3,2,4,3
AXMQX4,3,A large closet,Clothes,4,2,4,4,1
AXMQX4,27,Sky diving in Dubai,The city towers,3,2,2,3,2
MD58DX,0,"watching elephants, mostly the behavior of closer one",the elephant behavior and the reason of coming closer to me.,4,3,2,4,0
MD58DX,7,flying on top of the jungle like seating in helicopter,"inside of jungle, between trees, if there is any object, house or ...",5,5,4,3,0
MD58DX,3,"all cloths, accessories and ... in the shop, the man who was talking and ...",the shape of the shop and distances,3,4,4,3,0
MD58DX,12,buildings and shops in NY. I've never been there. ,sings and shop names,5,5,5,5,0
MD58DX,21,the very modern building and decoration,shape and style of decoration,4,3,4,4,0
MD58DX,30,aircraft show maneuver,how close they are and how can the keep distance,4,4,5,3,0
MD58DX,25,flying over the mountains and height of mountains,slope of mountain from each side and amount of snow on it,3,4,3,3,0
MD58DX,20,"placing in second floor of ECS building, watching the building ....",somebody come or something happen,5,5,5,5,0
MD58DX,1,watching the desert and mountains,a dry desert one side and small lakes on the other side with jungles,4,4,4,3,0
MD58DX,14,staying in elevator and watching area,"nothing, since outdoor isn't visible well.",4,4,4,4,0
MD58DX,17,"a game in Amusement Park, going to sky like a bird",the stress in the girls face,4,5,5,4,0
MD58DX,24,watching UTD students near ECS,finding a friend,5,4,5,5,0
MD58DX,27,flying in the Dubai Sky,not to hit the towers,5,5,5,5,0
MD58DX,5,watching hogs in a pure an African desert,"the differences between baby and adult hog.
and how they eat",5,5,5,5,0
MD58DX,10,a lady was walking in the jungle,how she was walking and her dress,5,5,4,3,0
R51ADW,0,"I saw six elephants walking on grass. They were moving closer to me and then disappeared from view.One elephant in particular, came close and then walked away like it was scared",The number of elephants walking.,4,4,3,4,0
R51ADW,11,"I was riding a chariot in some kind of Roman tournament. There was a chariot in front of me, another one to my right. I could see people on either side of the arena and one statue in the middle that seemed to have a woman riding a horse",The people and the statue mounted in the middle of the arena,5,5,4,4,0
R51ADW,23,"I was in the ECSS building entrance. I could see students walking by in the video.
",People moving around me,5,5,5,5,0
R51ADW,2,I was on top of a hill overlooking mountains. The ground seemed to be course dirt and was inclined downwards,The mountains and the blue sky.,5,5,5,5,0
R51ADW,5,There were 9 rhinos grazing together. There were two baby rhinos and 7 adult ones.Four of the rhinos were grazing together. Two of them seemed to be chasing each other. There was also a small pond.,The number of rhinos.,5,4,4,3,0
R51ADW,3,"A man wearing cargo pants,leather shoes and what seems to be a pink shirt that has KKT written it, is giving me a closet tour. The closet had a staircase leading to the upper level. There was a crystal chandelier on the top. I am standing in front of the jewellery cabinet and a wooden box next to me.",The shoes and other items in the closet.,5,5,5,5,0
R51ADW,19,"I was in the lab where this experiment was being conducted. I seem to be on top of the desk and see three people. There is a purple notebook,an orange and somebodys' iphone on the desk.",The things on top of the desk,4,4,4,4,0
R51ADW,13,I was travelling in an elevator going to the top of the building. I could see the elevator had buttons up to the third floor. There was also a number keypad below the floor buttons. There was a rectangular window that showed the outside of the building. I am assuming it is in New York City.,"The interior of the elevator, and where it was taking me.",5,5,5,5,0
R51ADW,30,I am inside a jet for the U.S Navy. There were three jets apart from the one I was in. The one to my right was #4 and to the left was #3. The pilot behind me was recording something on her phone. The pilot in front of me was wearing a yellow helmet. The jets were blue and yellow in color.,The jets and people around me.,5,5,5,4,0
R51ADW,26,"This was an Air Pano VR production. It had a beautiful waterfall, surrounded by lush greenery. I seemed to be floating downwards and could see mountains in the background",The waterfall and rainbow.,4,4,4,4,0
R51ADW,9,I am in a race car on my 11th lap. I still need to make 2 more laps. My best time seems be 1:49:380. I am in a black car that has two red stripes on the top. There is a red car in front of me.,"The details and information inside the car like the temperature, speed, best time, race track map, lap number.",5,4,4,4,0
R51ADW,8,"I am flying above a beautiful island, and I see one lone boat nearby. The water is very clear blue and there seem to be a lot of rocks on the shoreline",The water surrounding the island.,4,2,1,3,0
R51ADW,28,"I am following a silver convertible car driving in the countryside.There are two people in the car, there was one four-way junction that I saw we drove by, and there were fields on their side of me. I am following them as a drone.",The convertible in front of me.,4,4,3,4,0
R51ADW,18,"I am flying upwards as a drone on top of the Sailing building. I saw a restaurant, and I think a hotel 100? ",The buildings around me.,4,4,3,4,0
R51ADW,22,"I am in a room, observing a man dressed in a red hoodie, black jeans,black shoes and a black cap. He has his backpack and coat on top of a desk. He seems to be scanning documents, and replacing the machine with paper. There was fridge in the room for faculty use only.",The person moving in the video.,4,4,4,4,2
O6PITP,0,"I saw an open field with elephants coming closer. Skies were blue, grass was green, and elephants gradually got bigger the closer they came.","Mostly the elephants, but the elephant that came the closest was what I focused on the most.",4,4,4,4,0
O6PITP,4,"Two students at UTD. Both were sitting, and one got up and moved around. ",The movement of the individual ,3,3,3,3,0
O6PITP,18,Drone being lifted and lowered in a city. The POV was that of the drone.,Mainly the ground the tall building next to me.,5,5,5,5,4
O6PITP,7,"Saw mountains, a cottage, and group of cars in the distance. ",Mainly on the mountain next to the POV ,4,4,4,4,2
O6PITP,26,Steep falls that you descending with greenery around you. ,Predominantly the falls ,3,3,4,3,1
O6PITP,30,4 Navy jet fighters flying across the sky. The POV is of the middle jet fighter,Mainly on the top jet top fighter. ,5,5,5,5,4
O6PITP,22,Saw a person print some documents. He moved across the room,mainly on the individual who was printing the documents,4,4,4,4,1
O6PITP,1,Open space with the sun setting or rising. There was a lake and mountains in the distance ,mainly the lake next to the sun,4,3,3,3,0
O6PITP,20,A hall at UTD that was mainly empty besides the students at the far end who were sitting. ,"Nothing really, mainly just the banners",3,3,2,3,5
O6PITP,9,Two cars racing around a track.,Mainly the car in-front and the track,4,3,4,4,2
O6PITP,28,Saw an empty dust road in a field where a car was driving. ,On the car,4,3,4,4,3
O6PITP,24,In the middle of a pathway where people are walking around you.,"Nothing in particular, just the people walking",3,2,3,3,0
O6PITP,12,Car driving through a city. ,The billboards ,4,3,4,4,0
O6PITP,14,In a small elevator that has one door and one window where you can see through,Seeing through the window and the door.,4,3,4,4,2
O6PITP,5,Rhinos eating in a field.,the Rhinos closest to me,4,3,4,4,1
HM58CY,0,"Elephants walking on grasslands,focused on a a particular elephant that was very close.",I focused on the details of the elephants ans well as the grassland below.,4,4,4,4,0
HM58CY,20,A corridor in UTD,Ground and surroundings.,4,4,4,4,1
HM58CY,14,The interior of a moving elevator,The moving picture thorough the glass while the elevator moved up and down,3,3,3,3,0
HM58CY,2,"a mountaintop,surrounding mountains and a valley",the valley,5,5,5,5,0
HM58CY,23,ECSS entrance and corridor,the people moving around,4,4,4,4,0
HM58CY,4,A corridor,I did not focus on anything in particular. I kept looking around ,4,4,4,4,0
HM58CY,22,A copy room,the copying machine,4,4,4,4,0
HM58CY,18,A drone 's view as it files away from the ground and towards it,the ground below when the drone was up in the air,4,4,4,4,0
HM58CY,10,a lady walking in the forest.,the lady walking because she was distorted,3,2,3,3,0
HM58CY,26,a waterfall from a height above the ground,waterfall and the ground below me,4,4,4,4,0
HM58CY,12,A street with cars when as if I was looking as it from the open sunroof of a moving car,the cars around and the shops/places passing by on both sides of the road,5,5,5,5,0
HM58CY,30,the view from inside of a jet(?),the view straight up ahead,4,4,5,5,0
HM58CY,8,"A beach and the ocean , as seen from a distance high up from the ground",the water,5,5,4,5,0
HM58CY,6,Dancers in a dance studio,"Different groups of Dancers, according to the directions in the video and the gestures by the dancers",5,5,5,5,0
HM58CY,27,A skydiving experience,"the view all around me, I did not have a single point of focus",4,3,3,3,0
I3T5FG,0,I saw moving elephants  on grassland.,I focused on the elephant which was moving towards me.,3,3,4,3,0
I3T5FG,26,I saw running water which was probably a river on the mountain.,Initially the video was blurry but then I focused on running water on the mountain.,2,1,2,2,1
I3T5FG,10,I saw a lady moving towards in forest. I also saw wire train moving up above me.,I focused on train as well the the lady which was moving towards me.,5,5,5,5,0
I3T5FG,1,"I saw barren land with pieces of rock and the sun, which was about to set. It was clear sky. ",I focused on the front view where sun was about to set.,5,4,4,4,0
I3T5FG,29,I saw that I was in the pacman game. I was moving on the path over the coins.,I focused on the pathway as well the the other gaming characters which were moving towards me.I was also focusing on the coins along the pathway.,5,5,5,5,0
I3T5FG,13,I saw that I was in elevator of building.,I focused on the building environment like staircase and some building rooms.,4,5,5,5,0
I3T5FG,23,"I saw that, I was in UTD ECSS building.I was near the building entrance and  TI Auditorium.",I focused on the entrance gate and the people who were moving on the lobby.,5,5,5,5,0
I3T5FG,4,I saw that I was in one building which was probably a ECSW building.There was one student sitting on the chair at the end of the lobby. One man was moving towards him and they started interacting.,I focused on the man who was moving towards the other guy.,4,4,4,4,0
I3T5FG,8,I saw sea shore. I think It was probably a Island.,I focused on the sea and its coast.There was boat like object moving on the water.,5,4,4,5,0
I3T5FG,22,I was on one small room where there was copier machine and one guy.,I focused on the man who was taking some printout or xerox from the xerox machine.,5,5,4,4,0
I3T5FG,6,I saw  a group practicing dance in a room.,I focused on people who were dancing in front of me.,5,5,5,5,0
I3T5FG,28,I saw a moving car.I was in some kind of drone,I focused on the car and the man who was driving it.,5,5,5,5,0
I3T5FG,17,I saw that I was in some 90 degree roller coaster. I was still after going up.,I focused on the city view after going up.,5,5,5,5,0
I3T5FG,19,I was in computer lab where few students were working on their respective desktop.,I focused on the people who were working on their desktops.,4,5,4,5,0
I3T5FG,11,I saw that I was in some animation movie riding  a horse cart in a race. I was surrounded by the crowd who were watching the race. ,My focus was on the other horse carts which were moving with me.I was also focusing on the audiences who were cheering.,5,5,5,5,0
PTJLQ5,0,While watching the video I saw elephants walking across a grassy terrain. It was daytime. The sky was clear blue. Two of the elephants came very close and the rest were walking behind them.  ,I focused on the elephants.,4,4,3,4,0
PTJLQ5,5,I saw 9 rhinoceroses. Two of them appeared to be kids. All were grazing in the fields. The land had patches of grass. The sky was partly grey and blue. ,The rhinoceroses. ,3,4,3,3,0
PTJLQ5,14,I was in a lift going up. It was a glass lift. The city was partly visible.When I reached the top someone was waiting to the right.Then the lift started going down.,The lift itself.,4,4,4,4,0
PTJLQ5,9,"I saw that i was in a race car which was going laps. The dashboard was showing. On the right number of laps, current lap time, best lap time and last lap time was showing. There was another car in front.The speed was around 70 to 80 mph.There were also sharp turns.",The car and the surrounding.,4,4,4,5,0
PTJLQ5,7,I was in a valley surrounded by mountains. There was houses to the left and one below.,The surrounding.,5,4,4,5,0
PTJLQ5,23,I was on the ground floor of ECSS. There were students in the hallway and people were going in and out of the door.,The surrounding.,4,4,4,5,0
PTJLQ5,26,I was in front of a waterfall. There was a river flowing below behind. There was also a rainbow towards the bottom of the waterfall.,The waterfall.,4,5,4,4,0
PTJLQ5,20,"Inside a building in the hallway. There were hangings from the ceiling which had ""fearless"" written.",The surrounding.,4,4,3,4,0
PTJLQ5,2,I was on top of a mountain. The terrain appeared to be barren. There were mountains surrounding the one I was on.,The nearby mountains.,4,4,4,4,0
PTJLQ5,30,I was in a jet plane. There were 3 other.,The front of the jet.,4,4,5,4,0
PTJLQ5,11,I was in a chariot pulled by 4 white horses. It was a race. We were going in circles.It was from an ancient period. People were cheering. There were drums beating and soldiers.,The horses.,4,5,4,4,0
PTJLQ5,4,I was at the end of the hallway. Two people were sitting in front. One got up and left but came back in the end.,The surrounding.,4,4,5,4,0
PTJLQ5,18,I was in a drone that went up and down. I got a viw of the city that had tall buildings.,The buildings.,4,4,4,4,0
PTJLQ5,27,I jumped down from a plane. Dubai was visible beneath. I went past a tall building.,The buildings below.,4,5,5,4,0
PTJLQ5,21,I was in an apartment in a high rise. A guy was showing around. It was an open floor plan with floor to ceiling glass walls and white kitchen. ,The glass walls.,4,4,5,4,0
NPDAIX,0,elephants in a green field,scenery in the beginning. elephants as they got closer,4,5,5,4,0
NPDAIX,27,people skydiving. the skyline and the buildings. clouds,the buildings getting closer,5,4,5,5,0
NPDAIX,25,snowy mountains.,getting closer to the peak and then crossing over,5,5,5,5,0
NPDAIX,22,a person taking photocopies,getting out of the way for person in the video. ,5,5,5,5,3
NPDAIX,5,rhinos feeding,rhinos walking in my direction,5,4,5,5,1
NPDAIX,20,ecsn,waiting to see people or some movement.,5,5,5,5,5
NPDAIX,30,flying. airshow,getting closer to the land  and spinning on the way,5,5,5,5,1
NPDAIX,4,one person sitting and the other walking around,the person walking around,5,5,5,5,0
NPDAIX,8,beach and the hills ,"the shore, the color of the water, and the trees on the hill as I got closer to them",5,5,5,3,0
NPDAIX,17,"the roller-coaster , a small water body, and a really huge building","first on the people, then the scenery while waiting for the sudden drop",5,5,5,4,0
NPDAIX,2,a range of  mountains,the snowy parts of the mountains,5,5,5,3,0
NPDAIX,24,people walking around in the univ,more on the people than the location ,5,5,5,5,0
NPDAIX,10,a person walking in the woods,the trees and the pace at which I'm moving,5,5,5,4,3
NPDAIX,11,people cheering horse carriage racing,"the architecture, and the turns during the race",5,5,5,5,0
NPDAIX,13,going up in a glass elevator,the painting hung outside and the number of floors I'm going up,5,5,5,5,0
AJ8V5N,0,A herd of elephants grazing the grass.,First 2 elephants getting scared of me standing there.,5,5,5,5,2
AJ8V5N,7,Ariel view and travelling through the forest.,The mountain that was to my right.,5,5,5,5,1
AJ8V5N,12,Travelling in a car through a busy street.,Tall buildings and buses on my left.,5,5,3,4,4
AJ8V5N,14,The moving of lift from ground to top and returning back.,The movement of lift and floors that passed by.,5,5,5,5,3
AJ8V5N,3,A man speaking with me about the products on the store display.,Pink T-shirt that he was wearing.,5,4,5,4,5
AJ8V5N,26,Going down the stream of water flowing from a cliff.,Rainbow formed from the droplets of water.,5,5,5,5,3
AJ8V5N,2,I was standing at a mountain summit looking through the mountains around me.,Shade of clouds that passed over me.,5,5,5,5,0
AJ8V5N,27,"I was one of the skydivers, skydiving in Dubai",Smoke emitting from the foot of the skydivers.,5,5,5,5,2
AJ8V5N,29,3D pacman game.,"The texts that were written on the wall, like ""Dizzy"".",5,5,5,5,1
AJ8V5N,10,A woman walking through the woods.,The drone that was hovering above her.,5,5,5,5,0
AJ8V5N,17,Being lifted by a machine in an amusement park.,A building that was near to the park.,5,5,5,5,1
AJ8V5N,19,A computer room with people sitting around.,The wires that were hanging from the roof.,5,5,5,5,0
AJ8V5N,5,Rhinosauraus feeding on grass.,A big and a small rhinosaurus standing near to me.,5,4,5,4,2
AJ8V5N,23,ECS Building main entrance and people walking through the hallway. ,People walking through the door.,5,3,4,3,1
AJ8V5N,21,A real estate broker explaining the features of a home.,The person. Opening and closing the door.,4,4,3,2,7
IU1BX7,0,Elephants on plain grass.,One elephant got really close. I focused on that elephant a bit more than other surroundings.,3,3,4,2,0
IU1BX7,6,Four group of dancers.,I mostly focused on the group pointer by initial dancers.,3,3,3,3,0
IU1BX7,25,A nice view over an icy mountain peak.,I looked around in general.,4,3,4,4,0
IU1BX7,11,I was a rider in a horse race in a staduim.,"I looked at spectators, but I mostly focused on the direction my horses were moving.",4,4,4,4,0
IU1BX7,3,A salesman presentation.,To the guy since he was moving around.,3,3,3,3,0
IU1BX7,7,"A forest, some mountains and some houses here and there.","I didn't really focus at some place, but I really would love to live in that house in the woods.",4,3,4,4,0
IU1BX7,1,A nice view from an evening.,I looked around. I noticed grasses are moving too frequent with wind. I thought the video was time lapsed.,3,3,4,3,2
IU1BX7,14,I was in a moving elevator.,I looked around as much as possible.,3,3,2,4,4
IU1BX7,9,"I was on a car race, watching from on top of a car. It looked like a video game.","I mostly looked at mph, map and road.",4,3,3,3,1
IU1BX7,18,I was flying with a quadrotor. There was a nice city view I saw on top of a high building.,"Top right corner of quadorotor was blurry. Also, when I looked right down while descending, the center of the view looked a bit weird.",4,4,3,3,3
IU1BX7,21,I was presented a pricey apartment room.,There were doors going no where (outside)? Why?,3,2,3,3,1
IU1BX7,29,I was in a PacMan game.,Monster pursuing me.,1,2,2,4,2
IU1BX7,27,I was skydiving.,It was exciting to pass the buildings so close.,4,4,4,3,1
IU1BX7,20,An interior view from UTDallas EE department building.,That there was nobody around.,4,3,2,3,0
IU1BX7,24,A view from UTDallas campus.,I looked at people passing by and how indifferent they seemed.,3,2,3,3,0
ZFCNY8,0, A giant field of green grass with elephants slowly kept walking around.,"I focused more on the elephants, try to look at their different body parts, try to notice their skin and horn texture. When of the elephant came close and its trunk got closer to the camera, I had a sensation that it actually almost touched me. ",2,3,3,3,0
ZFCNY8,26,"At the bottom a green cavern filled with green bushes. The front, a beautiful red -rocky mountains and in between the rock formation a stream of water, running down it.",The green bushes at the bottom in addition to how high off the ground we were was the focus of my attention. It was cool to look down and see how far off the ground I felt I was. ,4,4,3,3,0
ZFCNY8,9,"I was on top of a car, racing against another car as we went head to head in a racing track.",The sudden rush or the sensation of being pushed back as the car accelerated at the start and some other parts of the race. ,2,2,1,1,0
ZFCNY8,19,In the current office where this is taking place or somewhere similar (maybe the room has changed since the video was recorded) and I watched three people behind computers working.,"The first guy I saw, the one wearing the black shirt seemed like he was going to look at me at any moment. I kept staring at home to see if it would happen but it never did. ",3,1,4,1,0
ZFCNY8,21,A realtor giving a tour of a really expensive home.,"The view outside, I wanted to stand up and walk around.",2,2,2,2,0
ZFCNY8,28,Woh! That was a fun one. A droid was chasing a car on a street surrounded by a field.,"The blades on the droid and its legs, wanted to touch them. Also the fast movement of the droid made me want to sway my body to match it motions. I felt more involved with this one. ",5,5,5,5,0
ZFCNY8,8,A giant aquamarine colored ocean to the right and a foresty hill to the left. ,The contrast between the amazing color of the ocean and the white sand next to it. The white note the headphones were emitting sounded like the ocean so it made the experience more calming and I actually slouched on my seat. ,5,5,4,5,0
ZFCNY8,14,Up and down we go in an elevator,"The material of the elevator. When it went down, I almost felt as if I was actually doing down, close but not all the way. ",2,1,3,2,0
ZFCNY8,12,Going through a downtown area on top of a car. ,The super tall buildings and everything that was happening in the streets as we drove in it. ,4,1,4,4,1
ZFCNY8,29,Packmannnnn!!!!,"I loved that it put me in the game, how it teased it by going from top-down to entering the game, it felt great. I focused on trying to avoid the enemies.  ",5,1,5,5,0
ZFCNY8,2,I was on top of a mountain range. ,The distant mountains ahead. It was calming. ,4,1,4,4,1
ZFCNY8,17,One of amusement park rides that goes up really high and then drops you suddenly.,"The girl on the left freaking out and how I was just floating in the air in front of another girl. Also, the fact that at any moment It could drop and how my legs felt like they were floating. ",3,1,4,2,0
ZFCNY8,5,Rhinoooos!!! They were a bunch of rhinos big and small eating.,The giant rhinos was were my focus was also that one of baby rhinos almost looked at me. ,5,1,5,2,0
ZFCNY8,23,Inside the main entrance of ECSS as people walked in the hallway.,The people walking by and looking at the camera and the sensation it created feeling as though I was next to them. ,5,1,5,5,0
ZFCNY8,3,Some guy was giving a tour of a two-story closet.,The guy's pink shirt and how it matched the tone of the whole place. He also had alligator shoes. ,1,1,1,1,0
79A9GO,0,I saw a field with a few elephants walking through it. ,I focused on where the elephants were moving. ,4,4,4,3,0
79A9GO,9,I saw a race track and a car in front of my car. I saw the digital display of the dashboard of the car. ,Mostly the dashboard,1,1,1,1,0
79A9GO,12,I saw NYC,Mostly the ads on the buildings,1,1,1,1,0
79A9GO,23,I saw the inside of the ECSS building at the front entrance as students were walking by,Mostly how the camera was turning,2,2,2,2,0
79A9GO,3,I saw a guy talking in an elegant closet room.,The environment of the room,2,1,2,2,0
